Timestamp,Type,Severity,Source_IP,Destination_IP,Description
2025-08-11T12:37:50.864693,SUSPICIOUS_PORT,LOW,2409:40e2:15f:e3a9:bd68:d765:f486:b08f,64:ff9b::d05f:7001,Access to HTTP port 80
2025-08-11T12:37:50.928220,BLACKLISTED_IP,HIGH,10.17.28.137,239.255.255.250,Traffic from blacklisted IP: 10.17.28.137
2025-08-11T12:37:50.996111,BLACKLISTED_IP,HIGH,10.17.28.137,239.255.255.250,Traffic from blacklisted IP: 10.17.28.137
2025-08-11T12:37:51.073335,SUSPICIOUS_PORT,LOW,2409:40e2:15f:e3a9:bd68:d765:f486:b08f,64:ff9b::d05f:7001,Access to HTTP port 80
2025-08-11T12:37:51.140410,SUSPICIOUS_PORT,LOW,2409:40e2:15f:e3a9:bd68:d765:f486:b08f,64:ff9b::d05f:7001,Access to HTTP port 80
2025-08-11T12:38:28.595576,SUSPICIOUS_PORT,LOW,2409:40e2:15f:e3a9:bd68:d765:f486:b08f,64:ff9b::c7e8:66d9,Access to HTTPS port 443
2025-08-11T12:38:30.587889,BLACKLISTED_IP,HIGH,10.17.28.137,10.17.28.64,Traffic from blacklisted IP: 10.17.28.137
2025-08-11T12:38:30.691186,SUSPICIOUS_PORT,LOW,2409:40e2:15f:e3a9:bd68:d765:f486:b08f,64:ff9b::c7e8:66d9,Access to HTTPS port 443
2025-08-11T12:38:30.815040,SUSPICIOUS_PORT,LOW,2409:40e2:15f:e3a9:bd68:d765:f486:b08f,64:ff9b::c7e8:66d9,Access to HTTPS port 443
2025-08-11T12:38:30.942359,SUSPICIOUS_PORT,LOW,2409:40e2:15f:e3a9:bd68:d765:f486:b08f,64:ff9b::d05f:7001,Access to HTTP port 80
2025-08-11T12:38:31.185677,SUSPICIOUS_PORT,LOW,2409:40e2:15f:e3a9:bd68:d765:f486:b08f,64:ff9b::d05f:7001,Access to HTTP port 80
2025-08-11T12:38:31.271302,SUSPICIOUS_PORT,LOW,2409:40e2:15f:e3a9:bd68:d765:f486:b08f,64:ff9b::d05f:7001,Access to HTTP port 80
2025-08-11T12:38:31.379518,SUSPICIOUS_PORT,LOW,2409:40e2:15f:e3a9:bd68:d765:f486:b08f,64:ff9b::d05f:7001,Access to HTTP port 80
2025-08-11T12:38:31.514592,SUSPICIOUS_PORT,LOW,2409:40e2:15f:e3a9:bd68:d765:f486:b08f,64:ff9b::d05f:7001,Access to HTTP port 80
2025-08-11T12:38:31.597965,SUSPICIOUS_PORT,LOW,2409:40e2:15f:e3a9:bd68:d765:f486:b08f,64:ff9b::d05f:7001,Access to HTTP port 80
2025-08-11T12:38:34.225863,SUSPICIOUS_PORT,LOW,2409:40e2:15f:e3a9:bd68:d765:f486:b08f,64:ff9b::8c52:7219,Access to HTTPS port 443
2025-08-11T12:38:43.148065,PAYLOAD_COMMAND_INJECTION,HIGH,2409:40e2:15f:e3a9:bd68:d765:f486:b08f,2404:6800:4002:804::2004,Malicious payload detected: COMMAND_INJECTION
2025-08-11T12:38:43.268094,PAYLOAD_COMMAND_INJECTION,HIGH,2409:40e2:15f:e3a9:bd68:d765:f486:b08f,2404:6800:4002:804::2004,Malicious payload detected: COMMAND_INJECTION
2025-08-11T12:38:43.383707,PAYLOAD_COMMAND_INJECTION,HIGH,2409:40e2:15f:e3a9:bd68:d765:f486:b08f,2404:6800:4002:804::2004,Malicious payload detected: COMMAND_INJECTION
